MasterID,7et Problem,4c pickup,6et pickup,6e pickup,6eStar pickup,NEW
82934,04.04.55,..,..,..,..,new
02481,04.04.56,04.05.40, , , ,
02482,04.04.57,04.05.41, , , ,
02483,04.04.58,04.05.42, , , ,
82935,04.04.59,..,..,..,..,new
02485,04.04.60,04.05.44, , , ,
02486,04.04.61,04.05.43, , , ,
02487,04.04.62,..,04.04.60, , ,
80332,04.04.63,04.05.45, , , ,
80333,04.04.64,04.05.46, , , ,
02490,04.04.65,..,04.04.63, , ,
02491,04.04.66,..,04.04.64, , ,
80334,04.04.67,04.05.47, , , ,
80335,04.04.68,04.05.48, , , ,
02494,04.04.69,04.05.49, , , ,
02495,04.04.70,04.05.50, , , ,
02496,04.04.71,04.05.63, , , ,
02497,04.04.72,04.05.64, , , ,
80336,04.04.73,04.05.61, , , ,
82936,04.04.74,..,..,..,..,new
82015,04.04.75,04.05.62, , , ,
02499,04.04.76a,04.05.66a, , , ,
30248,04.04.76b,04.05.66b, , , ,
02498,04.04.77,04.05.65, , , ,
80337,04.04.78,..,04.04.74, , ,
30194,04.04.79,04.05.67, , , ,
30195,04.04.80a,04.05.68a, , , ,
30249,04.04.80b,04.05.68b, , , ,
02500,04.04.81,04.05.69, , , ,
02501,04.04.82,04.05.70, , , ,
82016,04.04.83,04.05.71, , , ,
82017,04.04.84,04.05.72, , , ,
02502,04.04.85,04.05.73, , , ,
02503,04.04.86,04.05.74, , , ,
02504,04.04.87,04.05.75, , , ,
02505,04.04.88,..,04.04.82, , ,
02506,04.04.89a,..,04.04.83a, , ,
40585,04.04.89b,..,04.04.83b, , ,
02507,04.04.90a,04.05.76a, , , ,
05072,04.04.90b,04.05.76b, , , ,
05073,04.04.90c,04.05.76c, , , ,
82937,04.05.01,..,..,..,..,new
82938,04.05.02,..,..,..,..,new
82939,04.05.03,..,..,..,..,new
82940,04.05.04,..,..,..,..,new
82941,04.05.05,..,..,..,..,new
82942,04.05.06,..,..,..,..,new
82943,04.05.07,..,..,..,..,new
80338,04.05.08,..,04.05.08, , ,
02945,04.05.09,..,04.05.09, , ,
80339,04.05.10,..,04.05.10, , ,
82944,04.05.11,..,..,..,..,new
02948,04.05.12,..,04.05.12, , ,
02947,04.05.13,..,04.05.11, , ,
02950,04.05.14,..,04.05.14, , ,
02949,04.05.15,..,04.05.13, , ,
80340,04.05.16,..,04.05.16, , ,
02951,04.05.17,..,04.05.15, , ,
80341,04.05.18,..,04.05.18, , ,
02953,04.05.19,..,04.05.17, , ,
82945,04.05.20,..,..,..,..,new
82946,04.05.21,..,..,..,..,new
02956,04.05.22,..,04.05.20, , ,
80342,04.05.23,..,04.05.21, , ,
80343,04.05.24,..,04.05.22, , ,
02959,04.05.25,..,04.05.23, , ,
02960,04.05.26,..,04.05.24, , ,
02961,04.05.27,..,04.05.25, , ,
02962,04.05.28,..,04.05.26, , ,
02963,04.05.29,..,04.05.27, , ,
02964,04.05.30,..,04.05.28, , ,
80344,04.05.31,..,04.05.29, , ,
80345,04.05.32,..,04.05.30, , ,
82947,04.05.33,..,..,..,..,new
80346,04.05.34,..,04.05.32, , ,
02969,04.05.35,..,04.05.33, , ,
02970,04.05.36,..,04.05.34, , ,
02971,04.05.37,..,04.05.35, , ,
80347,04.05.38,..,04.05.36, , ,
02975,04.05.39,..,04.05.37, , ,
80348,04.05.40,..,04.05.38, , ,
82948,04.05.41,..,..,..,..,new
82949,04.05.42,..,..,..,..,new
02977,04.05.43,..,04.05.41, , ,
80350,04.05.44,..,04.05.40, , ,
80351,04.05.45,..,04.05.43, , ,
02979,04.05.46,..,04.05.42, , ,
80352,04.05.47,..,04.05.45, , ,
82950,04.05.48,..,..,..,..,new
02981,04.05.49,..,04.05.47, , ,
02980,04.05.50,..,04.05.46, , ,
82951,04.05.51,..,..,..,..,new
80353,04.05.52,..,04.05.48, , ,
02982,04.05.53,..,04.05.51, , ,
02983,04.05.54,..,04.05.52, , ,
80354,04.05.55,04.03.53, , , ,
80355,04.05.56,04.03.54, , , ,
82952,04.05.57a,..,..,..,..,new
82953,04.05.57b,..,..,..,..,new
82954,04.05.57c,..,..,..,..,new
82955,04.05.58,..,..,..,..,new
02377,04.05.59,04.03.55, , , ,
02378,04.05.60,04.03.56, , , ,
02984,04.05.61,..,04.05.57, , ,
02985,04.05.62,..,04.05.58, , ,
02986,04.05.63,..,04.05.59, , ,
02987,04.05.64,..,04.05.60, , ,
82956,04.05.65,..,..,..,..,new
82957,04.05.66,..,..,..,..,new
82958,04.05.67,..,..,..,..,new
82959,04.05.68,..,..,..,..,new
82960,04.05.69,..,..,..,..,new
82961,04.05.70,..,..,..,..,new
02995,04.05.71,..,04.05.67, , ,
02996,04.05.72,..,04.05.68, , ,
02998,04.05.73,..,04.05.69, , ,
02999,04.05.74,..,04.05.70, , ,
03000,04.05.75,..,04.05.71, , ,
03001,04.05.76,..,04.05.72, , ,
02382,04.06.01,04.04.01, , , ,
02383,04.06.02,04.04.02, , , ,
80356,04.06.03,04.04.03, , , ,
80357,04.06.04,04.04.04, , , ,
82976,04.06.05,..,..,..,..,new
82977,04.06.06,..,..,..,..,new
82978,04.06.07,..,..,..,..,new
82979,04.06.08,..,..,..,..,new
